Date,Close,Position
2023-09-14,173.86679077148438,0
2023-09-15,173.14456176757812,0
2023-09-18,176.072998046875,0
2023-09-19,177.16131591796875,0
2023-09-20,173.61947631835938,0
2023-09-21,172.07608032226562,0
2023-09-22,172.92691040039062,0
2023-09-25,174.20315551757812,0
2023-09-26,170.12709045410156,0
2023-09-27,168.61337280273438,0
2023-09-28,168.87062072753906,0
2023-09-29,169.3850860595703,0
2023-10-02,171.8979949951172,0
2023-10-03,170.5623779296875,0
2023-10-04,171.8089599609375,0
2023-10-05,173.04563903808594,0
2023-10-06,175.59815979003906,0
2023-10-09,177.0821533203125,0
2023-10-10,176.488525390625,0
2023-10-11,177.88351440429688,0
2023-10-12,178.78384399414062,0
2023-10-13,176.9436492919922,0
2023-10-16,176.81504821777344,0
2023-10-17,175.2617645263672,0
2023-10-18,173.96572875976562,0
2023-10-19,173.5897674560547,0
2023-10-20,171.0372772216797,0
2023-10-23,171.1559600830078,0
2023-10-24,171.59129333496094,0
2023-10-25,169.27627563476562,0
2023-10-26,165.11109924316406,0
2023-10-27,166.42697143554688,0
2023-10-30,168.47486877441406,0
2023-10-31,168.94976806640625,0
2023-11-01,172.1156463623047,0
2023-11-02,175.67730712890625,0
2023-11-03,174.76708984375,0
2023-11-06,177.31956481933594,0
2023-11-07,179.8820037841797,0
2023-11-08,180.9405670166016,0
2023-11-09,180.4656982421875,0
2023-11-10,184.65611267089844,0
2023-11-13,183.0710906982422,0
2023-11-14,185.68638610839844,2
2023-11-15,186.2510528564453,0
2023-11-16,187.9351501464844,0
2023-11-17,187.91534423828125,0
2023-11-20,189.65887451171875,0
2023-11-21,188.8564453125,0
2023-11-22,189.5201873779297,0
2023-11-24,188.1927032470703,0
2023-11-27,188.014404296875,0
2023-11-28,188.61866760253903,0
2023-11-29,187.59832763671875,0
2023-11-30,188.1728973388672,0
2023-12-01,189.45083618164065,0
2023-12-04,187.6577606201172,0
2023-12-05,191.6104431152344,0
2023-12-06,190.52073669433597,0
2023-12-07,192.45248413085935,0
2023-12-08,193.87901306152344,0
2023-12-11,191.3726806640625,0
2023-12-12,192.8883819580078,0
2023-12-13,196.1079864501953,0
2023-12-14,196.25657653808597,0
2023-12-15,195.72161865234372,0
2023-12-18,194.05731201171875,0
2023-12-19,195.09751892089844,0
2023-12-20,193.00726318359372,0
2023-12-21,192.85861206054688,0
2023-12-22,191.7887420654297,0
2023-12-26,191.243896484375,0
2023-12-27,191.3429718017578,0
2023-12-28,191.7689514160156,0
2023-12-29,190.72879028320312,0
2024-01-02,183.9032440185547,0
2024-01-03,182.52622985839844,0
2024-01-04,180.2081298828125,0
2024-01-05,179.48497009277344,0
2024-01-08,183.823974609375,0
2024-01-09,183.4079132080078,0
2024-01-10,184.44808959960935,0
2024-01-11,183.8536834716797,0
2024-01-12,184.18060302734372,0
2024-01-16,181.9120330810547,0
2024-01-17,180.97091674804688,-2
2024-01-18,186.86524963378903,0
2024-01-19,189.76785278320312,0
2024-01-22,192.07603454589844,0
2024-01-23,193.35397338867188,0
2024-01-24,192.68032836914065,0
2024-01-25,192.3534393310547,0
2024-01-26,190.61978149414065,0
2024-01-29,189.93624877929688,0
2024-01-30,186.28076171875,0
2024-01-31,182.67481994628903,0
2024-02-01,185.11183166503903,0
2024-02-02,184.11126708984372,0
2024-02-05,185.9241485595703,0
2024-02-06,187.52899169921875,0
2024-02-07,187.63796997070312,0
2024-02-08,186.55816650390625,0
2024-02-09,187.3219146728516,0
2024-02-12,185.6356658935547,0
2024-02-13,183.54275512695312,0
2024-02-14,182.65994262695312,0
2024-02-15,182.37229919433597,0
2024-02-16,180.83482360839844,0
2024-02-20,180.09091186523438,0
2024-02-21,180.8447723388672,0
2024-02-22,182.87815856933597,0
2024-02-23,181.04315185546875,0
2024-02-26,179.6941375732422,0
2024-02-27,181.1522521972656,0
2024-02-28,179.95204162597656,0
2024-02-29,179.2874755859375,0
2024-03-01,178.20626831054688,0
2024-03-04,173.68319702148438,0
2024-03-05,168.7434539794922,0
2024-03-06,167.75155639648438,0
2024-03-07,167.63253784179688,0
2024-03-08,169.34852600097656,0
2024-03-11,171.35220336914062,0
2024-03-12,171.82830810546875,0
2024-03-13,169.74533081054688,0
2024-03-14,171.60018920898438,0
2024-03-15,171.22323608398438,0
2024-03-18,172.31434631347656,0
2024-03-19,174.65525817871094,0
2024-03-20,177.22430419921875,0
2024-03-21,169.9833526611328,0
2024-03-22,170.88600158691406,0
2024-03-25,169.4675750732422,0
2024-03-26,168.3367919921875,0
2024-03-27,171.9076690673828,0
2024-03-28,170.0924530029297,0
2024-04-01,168.65420532226562,0
2024-04-02,167.47384643554688,0
2024-04-03,168.2772674560547,0
2024-04-04,167.4539794921875,0
2024-04-05,168.20782470703125,0
2024-04-08,167.0869903564453,0
2024-04-09,168.297119140625,0
2024-04-10,166.42242431640625,0
2024-04-11,173.6236572265625,0
2024-04-12,175.1214599609375,0
2024-04-15,171.2926788330078,0
2024-04-16,168.00946044921875,0
2024-04-17,166.64060974121094,0
2024-04-18,165.68838500976562,0
2024-04-19,163.66490173339844,0
2024-04-22,164.49810791015625,0
2024-04-23,165.5495147705078,0
2024-04-24,167.6523895263672,0
2024-04-25,168.51535034179688,0
2024-04-26,167.9300994873047,0
2024-04-29,172.0961151123047,0
2024-04-30,168.9517822265625,0
2024-05-01,167.9300994873047,0
2024-05-02,171.6299591064453,0
2024-05-03,181.89617919921875,0
2024-05-06,180.2397003173828,0
